Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
MODULE 1 – User Registration,LMS-1,10120,Epic,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:45 AM,02/Apr/26 10:45 AM,,,,0,All stories related to user sign-up and social login.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d52a3a0,,,,,ghx-label-13,,To Do,,,,dark_green,,,,,0|i0008n:,,,,,,,,,,,,,,,,,,To Do,02/Apr/26 10:45 AM
1.2 Social Login (Google / Facebook),LMS-33,10176,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,Allow users to sign up / log in via Google or Facebook OAuth.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15fa903d,,,,,,,,,,,,,,,,0|i0008r:,,,LMS Sprint 1,,,,,,,,,,,,10156,LMS-23,MODULE 1 – User Registration,To Do,02/Apr/26 10:49 AM
1.2.1 Google OAuth integration – authenticated login only,LMS-34,10178,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,1.2.1 Google OAuth integration – authenticated login only,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@20df59f8,,,,,,,,,,,,,,,,0|i0008t:,,,LMS Sprint 1,,,,,,,,,,,,10176,LMS-33,1.2 Social Login (Google / Facebook),To Do,02/Apr/26 10:49 AM
1.2.2 Facebook OAuth integration – authenticated login only,LMS-35,10180,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,1.2.2 Facebook OAuth integration – authenticated login only,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7be9666a,,,,,,,,,,,,,,,,0|i0008u:,,,LMS Sprint 1,,,,,,,,,,,,10176,LMS-33,1.2 Social Login (Google / Facebook),To Do,02/Apr/26 10:49 AM
1.2.3 First social login – auto profile creation,LMS-36,10182,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,1.2.3 First social login – auto profile creation,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1d454f1b,,,,,,,,,,,,,,,,0|i0008u:i,,,LMS Sprint 1,,,,,,,,,,,,10176,LMS-33,1.2 Social Login (Google / Facebook),To Do,02/Apr/26 10:49 AM
1.2.4 Duplicate social login – 'Account already exists' error,LMS-37,10184,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,1.2.4 Duplicate social login – 'Account already exists' error,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a67fd03,,,,,,,,,,,,,,,,0|i0008u:r,,,LMS Sprint 1,,,,,,,,,,,,10176,LMS-33,1.2 Social Login (Google / Facebook),To Do,02/Apr/26 10:49 AM
1.1 Sign Up / Registration Form,LMS-24,10158,Story,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,02/Apr/26 11:10 AM,,,0,Implement the registration form with all field validations.,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@209448fb,,,,,,,,,,,,,,,,0|i00093:,,,LMS Sprint 1,,,,,,,,,,,,10156,LMS-23,MODULE 1 – User Registration,To Do,02/Apr/26 10:49 AM
"1.1.1 Full Name Field – alphabets & space only, 3-50 chars, no blanks, inline error",LMS-25,10160,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,"1.1.1 Full Name Field – alphabets & space only, 3-50 chars, no blanks, inline error",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@d1e25d3,,,,,,,,,,,,,,,,0|i00097:,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
"1.1.2 Email Field – valid format, 5-50 chars, no blanks, duplicate check",LMS-26,10162,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,"1.1.2 Email Field – valid format, 5-50 chars, no blanks, duplicate check",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4b036c78,,,,,,,,,,,,,,,,0|i00099:,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
"1.1.3 Mobile Number Field – 10-digit numeric, OTP sent after entry",LMS-27,10164,Sub-task,To Do,LMS,LMS Platform,software,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,LMS Platform – full feature backlog,Medium,,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,02/Apr/26 10:49 AM,02/Apr/26 11:12 AM,,,,0,"1.1.3 Mobile Number Field – 10-digit numeric, OTP sent after entry",,Adarsh,712020:5cf73286-4e4e-4d0f-af29-75f706e8b7d8,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41a1dea1,,,,,,,,,,,,,,,,0|i0009a:,,,LMS Sprint 1,,,,,,,,,,,,10158,LMS-24,1.1 Sign Up / Registration Form,To Do,02/Apr/26 10:49 AM
